dataset_name,BOSS,CNN,HC1,HC2,InceptionT,ResNet,TDE,TS-CHIEF,WEASEL,WEASEL-D,cBOSS,MOSS
ACSF1,0.745,0.357,0.848,0.851,0.846,0.828,0.811,0.802,0.783,0.835,0.778,0.747
BeetleFly,0.945,0.77,0.95,0.915,0.895,0.855,0.95,0.97,0.925,0.965,0.96,0.93
Chinatown,0.8595,0.9504,0.9691,0.9714,0.9685,0.9722,0.9548,0.9643,0.9411,0.9749,0.944,0.9723
Computers,0.7908,0.566,0.7916,0.8444,0.8624,0.8628,0.8136,0.744,0.7776,0.7604,0.794,0.7772
DistalPhalanxOutlineAgeGroup,0.8216,0.7921,0.8201,0.8007,0.754,0.7619,0.7777,0.8237,0.7906,0.7978,0.8072,0.8101
DistalPhalanxOutlineCorrect,0.8043,0.8022,0.8192,0.821,0.8083,0.7971,0.7572,0.8178,0.7971,0.833,0.7667,0.8091
DistalPhalanxTW,0.6755,0.664,0.7029,0.7151,0.6799,0.6705,0.677,0.6906,0.6842,0.7129,0.6835,0.695
ECG5000,0.9388,0.9305,0.9464,0.9481,0.9415,0.9363,0.9438,0.9488,0.9418,0.9485,0.9426,0.9216
Earthquakes,0.7475,0.6942,0.7482,0.7475,0.7288,0.7266,0.7482,0.7482,0.7288,0.746,0.7482,0.754
GunPointAgeSpan,0.994,0.7193,0.9934,0.9937,0.9782,0.9918,0.9991,0.9994,0.9908,0.9921,0.9991,0.9703
GunPointMaleVersusFemale,0.9997,0.7646,0.9987,1.0,0.9984,0.9946,0.9994,0.9997,0.9965,0.9972,0.9997,0.9956
GunPointOldVersusYoung,0.9997,0.6156,1.0,1.0,1.0,1.0,0.9987,1.0,0.9911,0.9965,0.999,1.0
Herring,0.5922,0.5812,0.6203,0.6328,0.6297,0.6125,0.5859,0.6016,0.6375,0.6047,0.5781,0.6719
HouseTwenty,0.9639,0.8647,0.9798,0.9849,0.9437,0.9513,0.9882,0.9655,0.9723,0.9529,0.9681,0.9655
InsectEPGRegularTrain,0.9964,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
InsectEPGSmallTrain,0.9871,1.0,1.0,1.0,1.0,0.4426,1.0,1.0,1.0,0.9787,0.9976,1.0
ItalyPowerDemand,0.8617,0.9466,0.957,0.9615,0.96,0.9596,0.9458,0.9602,0.9445,0.9511,0.9253,0.9242
Lightning2,0.782,0.6951,0.7344,0.7623,0.8328,0.8066,0.759,0.7541,0.6918,0.7098,0.7672,0.7508
Meat,0.9767,0.9767,0.98,0.985,0.9833,0.9933,0.9717,0.9783,0.945,0.9767,0.97,0.9633
MiddlePhalanxOutlineAgeGroup,0.6591,0.6591,0.6812,0.6656,0.5747,0.5805,0.6766,0.687,0.6305,0.7091,0.6727,0.7175
MiddlePhalanxOutlineCorrect,0.8007,0.7873,0.8155,0.8357,0.8351,0.8265,0.7687,0.8069,0.8227,0.8364,0.7663,0.7852
MiddlePhalanxTW,0.524,0.5766,0.5942,0.5753,0.5266,0.5331,0.5695,0.5727,0.561,0.5935,0.5513,0.6039
MoteStrain,0.8438,0.8433,0.9249,0.9272,0.8688,0.8956,0.903,0.927,0.9216,0.9391,0.8978,0.883
PhalangesOutlinesCorrect,0.8118,0.7962,0.8309,0.8455,0.8596,0.8458,0.7748,0.824,0.811,0.8434,0.7772,0.7798
Plane,0.999,0.9638,1.0,1.0,0.9971,1.0,1.0,1.0,1.0,1.0,1.0,0.9952
PowerCons,0.8856,0.9994,0.9933,0.9722,0.9878,0.8878,0.9428,0.9783,0.9317,0.9283,0.8828,0.9267
ProximalPhalanxOutlineAgeGroup,0.8268,0.8351,0.8493,0.8468,0.8239,0.8166,0.8444,0.8434,0.8283,0.8532,0.8493,0.8527
ProximalPhalanxTW,0.7737,0.7659,0.8141,0.8161,0.7932,0.7941,0.8005,0.8137,0.7961,0.8039,0.8039,0.8068
SemgHandGenderCh2,0.8738,0.8132,0.9805,0.974,0.883,0.8118,0.879,0.9367,0.7837,0.9462,0.8628,0.8373
SemgHandMovementCh2,0.6496,0.6189,0.9167,0.8989,0.5702,0.4236,0.7244,0.8889,0.3453,0.6642,0.6604,0.6169
SemgHandSubjectCh2,0.8236,0.8676,0.9662,0.958,0.7769,0.5498,0.8613,0.9353,0.6622,0.9127,0.816,0.7544
SmoothSubspace,0.3993,0.864,0.9853,0.9807,0.982,0.992,0.8373,0.9967,0.7713,0.9733,0.3913,0.9887
SonyAIBORobotSurface1,0.8689,0.8175,0.8879,0.9416,0.9446,0.9546,0.7359,0.8785,0.8601,0.9527,0.587,0.7993
SyntheticControl,0.9657,0.9843,0.9933,0.9977,0.9957,0.994,0.9893,0.9987,0.9777,0.9843,0.9467,0.9727
Wafer,0.9986,0.9618,0.9998,1.0,0.9987,0.9987,0.9998,0.9987,0.9992,0.9994,0.9986,0.9759
