dataset_name,AVG Accuracy,seed_0,seed_1,seed_2,seed_3,seed_4,seed_5,seed_6,seed_7,seed_8,seed_9
ACSF1,0.747,0.82,0.74,0.77,0.69,0.77,0.71,0.75,0.79,0.71,0.72
BeetleFly,0.93,1.0,0.95,0.9,1.0,0.95,0.9,1.0,0.8,0.9,0.9
Chinatown,0.9723032069970845,0.9708454810495628,0.9620991253644317,0.97667638483965,0.9825072886297376,0.9737609329446064,0.97667638483965,0.9620991253644317,0.9650145772594751,0.979591836734694,0.9737609329446064
Computers,0.7772,0.76,0.8,0.808,0.772,0.788,0.736,0.772,0.776,0.8,0.76
DistalPhalanxOutlineAgeGroup,0.8100719424460431,0.7266187050359713,0.8776978417266187,0.8057553956834532,0.8201438848920863,0.7913669064748201,0.8057553956834532,0.7985611510791367,0.7913669064748201,0.8489208633093526,0.8345323741007195
DistalPhalanxOutlineCorrect,0.8090579710144927,0.7789855072463768,0.7971014492753623,0.8297101449275363,0.8152173913043478,0.7934782608695652,0.8333333333333334,0.7934782608695652,0.8043478260869565,0.8333333333333334,0.8115942028985508
DistalPhalanxTW,0.6949640287769784,0.6618705035971223,0.6762589928057554,0.7194244604316546,0.7050359712230215,0.6474820143884892,0.6834532374100719,0.7338129496402878,0.7050359712230215,0.7122302158273381,0.7050359712230215
ECG5000,0.9215777777777777,0.9271111111111112,0.9213333333333332,0.9206666666666666,0.9148888888888888,0.9224444444444444,0.9215555555555556,0.92,0.922,0.9242222222222222,0.9215555555555556
Earthquakes,0.7539568345323742,0.7482014388489209,0.7410071942446043,0.7482014388489209,0.7410071942446043,0.7482014388489209,0.7841726618705036,0.7482014388489209,0.7482014388489209,0.7482014388489209,0.7841726618705036
GunPointAgeSpan,0.970253164556962,0.9588607594936708,0.981012658227848,0.9841772151898734,0.9746835443037974,0.9462025316455696,0.9525316455696202,0.9683544303797468,0.9841772151898734,0.9651898734177216,0.9873417721518988
GunPointMaleVersusFemale,0.9955696202531646,0.9968354430379748,0.9873417721518988,0.9936708860759492,0.9968354430379748,1.0,1.0,0.9968354430379748,0.9968354430379748,0.9936708860759492,0.9936708860759492
GunPointOldVersusYoung,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
